114:81992262:d=2021050900:ICMR:10 mb:anl:
115:81992450:d=2021050900:RWMR:10 mb:anl:
116:81992638:d=2021050900:SNMR:10 mb:anl:
117:81992826:d=2021050900:GRLE:10 mb:anl:
118:81993014:d=2021050900:RIME:10 mb:anl:
119:81993202:d=2021050900:HGT:20 mb:anl:
120:84317028:d=2021050900:TMP:20 mb:anl:
121:85002232:d=2021050900:RH:20 mb:anl:
122:85094251:d=2021050900:DPT:20 mb:anl:
123:85094439:d=2021050900:SPFH:20 mb:anl:
124:86768639:d=2021050900:VVEL:20 mb:anl:
125:88946506:d=2021050900:DZDT:20 mb:anl:
126:89472664:d=2021050900:UGRD:20 mb:anl:
127:90116174:d=2021050900:VGRD:20 mb:anl:
128:90728727:d=2021050900:TKE:20 mb:anl:
129:90967058:d=2021050900:CLWMR:20 mb:anl:
130:90967246:d=2021050900:ICMR:20 mb:anl:
131:90967434:d=2021050900:RWMR:20 mb:anl:
132:90967622:d=2021050900:SNMR:20 mb:anl:
133:90967810:d=2021050900:GRLE:20 mb:anl:
134:90967998:d=2021050900:RIME:20 mb:anl:
135:90968186:d=2021050900:HGT:30 mb:anl:
136:93145685:d=2021050900:TMP:30 mb:anl:
137:93828514:d=2021050900:RH:30 mb:anl:
138:94165310:d=2021050900:DPT:30 mb:anl:
139:94165498:d=2021050900:SPFH:30 mb:anl:
140:95231185:d=2021050900:VVEL:30 mb:anl:
141:97033276:d=2021050900:DZDT:30 mb:anl:
142:97555314:d=2021050900:UGRD:30 mb:anl:
143:98276450:d=2021050900:VGRD:30 mb:anl:
144:98957186:d=2021050900:TKE:30 mb:anl:
145:99195517:d=2021050900:CLWMR:30 mb:anl:
146:99195705:d=2021050900:ICMR:30 mb:anl:
147:99195893:d=2021050900:RWMR:30 mb:anl:
148:99196081:d=2021050900:SNMR:30 mb:anl:
149:99196269:d=2021050900:GRLE:30 mb:anl:
150:99196457:d=2021050900:RIME:30 mb:anl:
151:99196645:d=2021050900:HGT:50 mb:anl:
152:101490698:d=2021050900:TMP:50 mb:anl:
153:102027942:d=2021050900:RH:50 mb:anl:
154:102214334:d=2021050900:DPT:50 mb:anl:
155:102214522:d=2021050900:SPFH:50 mb:anl:
156:102783117:d=2021050900:VVEL:50 mb:anl:
157:104892318:d=2021050900:DZDT:50 mb:anl:
158:105445666:d=2021050900:UGRD:50 mb:anl:
159:106258899:d=2021050900:VGRD:50 mb:anl:
160:107059710:d=2021050900:TKE:50 mb:anl:
161:107298041:d=2021050900:CLWMR:50 mb:anl:
162:107298229:d=2021050900:ICMR:50 mb:anl:
163:107298417:d=2021050900:RWMR:50 mb:anl:
164:107298605:d=2021050900:SNMR:50 mb:anl:
165:107298793:d=2021050900:GRLE:50 mb:anl:
166:107298981:d=2021050900:RIME:50 mb:anl:
167:107299169:d=2021050900:HGT:70 mb:anl:
168:109280594:d=2021050900:TMP:70 mb:anl:
169:109844438:d=2021050900:RH:70 mb:anl:
170:109916844:d=2021050900:DPT:70 mb:anl:
171:109917032:d=2021050900:SPFH:70 mb:anl:
172:110602595:d=2021050900:VVEL:70 mb:anl:
173:112903566:d=2021050900:DZDT:70 mb:anl:
174:113470495:d=2021050900:UGRD:70 mb:anl:
175:114325687:d=2021050900:VGRD:70 mb:anl:
176:115167166:d=2021050900:TKE:70 mb:anl:
177:115405497:d=2021050900:CLWMR:70 mb:anl:
178:115405685:d=2021050900:ICMR:70 mb:anl:
179:115405873:d=2021050900:RWMR:70 mb:anl:
180:115406061:d=2021050900:SNMR:70 mb:anl:
181:115406249:d=2021050900:GRLE:70 mb:anl:
182:115406437:d=2021050900:RIME:70 mb:anl:
183:115406625:d=2021050900:HGT:100 mb:anl:
184:117125335:d=2021050900:TMP:100 mb:anl:
185:117693117:d=2021050900:RH:100 mb:anl:
186:117848727:d=2021050900:DPT:100 mb:anl:
187:117848915:d=2021050900:SPFH:100 mb:anl:
188:118661148:d=2021050900:VVEL:100 mb:anl:
189:121205414:d=2021050900:DZDT:100 mb:anl:
190:121839379:d=2021050900:UGRD:100 mb:anl:
191:122869794:d=2021050900:VGRD:100 mb:anl:
192:123855978:d=2021050900:TKE:100 mb:anl:
